Occupation,Elimination_Week,Category
Marketing Manager,3,Sales & Marketing
Cadaver Tissue Saleswoman,1,Sales & Marketing
Massage Therapist,1,Human Services
Grade School Teacher,1,Education
Former NFL Cheerleader,4,Sports & Training
Personal Trainer,1,Sports & Training
Wedding Cake Baker,1,Hospitality & Tourism
Account Manager,1,Business Management & Administration
Yoga Instructor,2,Sports & Training
Personal Banker,1,Finance
Police Support Specialist,1,Law & Public Safety
High School Soccer Coach,1,Sports & Training
Sales Manager,1,Sales & Marketing
Fourth Grade Teacher,3,Education
Flight Attendant,1,Transportation, Distribution, & Logistics
Account Executive,1,Business Management & Administration
Surgical Unit Nurse,1,Health Science
Account Manager,2,Business Management & Administration
Food Truck Owner,1,Hospitality & Tourism
Mineral Coordinator,1,STEM
Model,1,Sales & Marketing
Special Education Teacher,3,Education
Math Teacher,1,Education
Psychiatric Nurse,5,Health Science
Dentist,2,Health Science
Attorney,2,Law & Public Safety
Apparel Sales Representative,1,Sales & Marketing
Interior Designer,1,Architecture & Construction
Chicken Enthusiast,1,Miscellaneous
Accountant,1,Business Management & Administration
Executive Assistant,2,Business Management & Administration
Flight Attendant,2,Transportation, Distribution, & Logistics
Guidance Counselor,6,Education
Communications Director/NHL Ice Girl,1,Arts & Communications
Photographer,2,Arts & Communications
Nanny,5,Human Services
Restaurant Server,3,Hospitality & Tourism
Doula,2,Health Science
Chef,5,Hospitality & Tourism
Marketing Manager,2,Sales & Marketing
Sport Fishing Enthusiast,2,Sports & Training
Law School Graduate,1,Education
Local News Reporter,2,Arts & Communications
Nutritional Therapist,1,Health Science
Bartender,3,Hospitality & Tourism
Music Composer,4,Arts & Communications
Digital Marketing Manager,2,Sales & Marketing
Student,2,Education
Medical Sales Representative/NBA Dancer,6,Sales & Marketing
Mathematician,3,STEM
Travel Nurse,3,Health Science
Unemployed,4,Miscellaneous
Registered Nurse,5,Health Science
Fashion Buyer,2,Sales & Marketing
Science Educator,7,Education
Legal Assistant,2,Law & Public Safety
Bartender,3,Hospitality & Tourism
Bartender,4,Hospitality & Tourism
First Grade Teacher,4,Education
Pro Basketball Dancer,6,Arts & Communications
Plastic Surgery Office Manager,4,Business Management & Administration
Dental Assistant,5,Health Science
Make-Up Artist,6,Arts & Communications
Mental Health Counselor,5,Human Services
Event Planner,6,Business Management & Administration
News Producer,4,Arts & Communications
Plus-Size Model,1,Sales & Marketing
Wedding Videographer,3,Arts & Communications
Graphic Designer,1,Arts & Communications
WWE Diva-in-Training,1,Sports & Training
Pilates Instructor,6,Sports & Training
Former NBA Dancer,6,Arts & Communications
Free Spirit,3,Miscellaneous
War Veteran,5,Miscellaneous
Dog Lover,5,Miscellaneous
Fashion Designer,5,Arts & Communications
Kindergarten Teacher,6,Education
Hair Stylist,4,Human Services
Neonatal Nurse,7,Health Science
Former News Anchor,6,Arts & Communications
Esthetician,4,Human Services
Opera Singer,7,Arts & Communications
Nursing Home Owner,1,Business Management & Administration
Small Business Owner,5,Business Management & Administration
Grade School Teacher,4,Education
Small Business Owner,6,Business Management & Administration
Real Estate Agent,1,Sales & Marketing
Aspiring Dolphin Trainer,5,Hospitality & Tourism
Hairstylist,10,Human Services
Dental Hygienist,7,Health Science
Waitress,4,Hospitality & Tourism
Waitress,7,Hospitality & Tourism
Real Estate Agent,8,Sales & Marketing
Software Sales Representative,9,Sales & Marketing
Real Estate Agent,3,Sales & Marketing
Waitress,7,Hospitality & Tourism
Attorney,9,Law & Public Safety
Pediatric Nurse,10,Health Science
Nanny/Freelance Journalist,6,Human Services
Fertility Nurse,10,Health Science
Fashion Boutique Owner,10,Business Management & Administration
Business Owner,8,Business Management & Administration
Cosmetics Developer,8,STEM
Cruise Ship Singer,7,Hospitality & Tourism
Special Education Teacher,10,Education
Assistant District Attorney,9,Law & Public Safety
Esthetician,8,Human Services
Chiropractic Assistant,10,Health Science
Chiropractic Assistant,7,Health Science
Flight Attendant,10,Transportation, Distribution, & Logistics
Dance Instructor,9,Arts & Communications
Real Estate Developer,10,Sales & Marketing
Miami Heat Dancer,6,Arts & Communications
Business Development Director,1,Business Management & Administration
